"SubjectID" "activityID" "measurevariable" "x"
19 5 "mean" -0.327295514373578
20 5 "mean" -0.318223425908491
21 5 "mean" -0.346893518513148
22 5 "mean" -0.326561946707123
23 5 "mean" -0.337090115718806
24 5 "mean" -0.329806576680252
25 5 "mean" -0.324688772203216
26 5 "mean" -0.327838665466571
27 5 "mean" -0.333805919844014
28 5 "mean" -0.322369927070005
29 5 "mean" -0.328819375232935
30 5 "mean" -0.316404668908682
1 6 "mean" -0.304884777269733
2 6 "mean" -0.328453371445148
3 6 "mean" -0.316080066483367
4 6 "mean" -0.322623634440029
5 6 "mean" -0.330772502246258
6 6 "mean" -0.323760865867178
7 6 "mean" -0.324960252029551
8 6 "mean" -0.319503380250525
9 6 "mean" -0.346399216315267
10 6 "mean" -0.385994328424547
11 6 "mean" -0.322487947209803
12 6 "mean" -0.327258087555217
13 6 "mean" -0.317588283784098
14 6 "mean" -0.307034317129901
15 6 "mean" -0.330632351116001
16 6 "mean" -0.338979378247378
17 6 "mean" -0.314475613241229
18 6 "mean" -0.323205198765212
19 6 "mean" -0.335046120157935
20 6 "mean" -0.328995495685053
21 6 "mean" -0.31420330525481
22 6 "mean" -0.314583817720457
23 6 "mean" -0.325817372177888
24 6 "mean" -0.321267686939607
25 6 "mean" -0.308461429971301
26 6 "mean" -0.332362402496482
27 6 "mean" -0.330928812731999
28 6 "mean" -0.375004129561894
29 6 "mean" -0.324339083835936
30 6 "mean" -0.318055722394696
1 1 "std" -0.323079676103798
2 1 "std" -0.47870683724315
3 1 "std" -0.467875710867895
4 1 "std" -0.558165894174937
5 1 "std" -0.424478086614137
6 1 "std" -0.378596349651586
7 1 "std" -0.33002180483508
8 1 "std" -0.237095131170486
9 1 "std" -0.403183889512123
10 1 "std" -0.347096043570181
11 1 "std" -0.525240092260311
12 1 "std" -0.412801212528167
13 1 "std" -0.336015332610958
14 1 "std" -0.389944358015636
15 1 "std" -0.448874089826134
16 1 "std" -0.524015591476307
17 1 "std" -0.427912399317766
18 1 "std" -0.546762689482143
19 1 "std" -0.175618976392716
20 1 "std" -0.199279682023905
21 1 "std" -0.358048628937711
22 1 "std" -0.274055968768815
23 1 "std" -0.234836262103058
24 1 "std" -0.498660406796336
25 1 "std" -0.572403735082151
26 1 "std" -0.462966325859534
27 1 "std" -0.450629402511952
28 1 "std" -0.445690620096605
29 1 "std" -0.406975569793231
30 1 "std" -0.382274217433782
1 2 "std" -0.432752193688129
2 2 "std" -0.393589705330382
3 2 "std" -0.4991770823125
4 2 "std" -0.484273313067941
5 2 "std" -0.363115697424025
6 2 "std" -0.31076546354866
7 2 "std" -0.500019099373529
8 2 "std" -0.216468666910772
9 2 "std" -0.480452526321497
10 2 "std" -0.33421242421734
11 2 "std" -0.509311713967901
12 2 "std" -0.505105768633253
13 2 "std" -0.447312522625811
14 2 "std" -0.15248826700162
15 2 "std" -0.438791494846224
16 2 "std" -0.514215753811438
17 2 "std" -0.43337482030263
18 2 "std" -0.571641463407328
19 2 "std" -0.292737333638698
20 2 "std" -0.296784514842149
21 2 "std" -0.406342825202057
22 2 "std" -0.298586914259226
23 2 "std" -0.364512206735458
24 2 "std" -0.511207893286299
25 2 "std" -0.58747347428782
26 2 "std" -0.48739466706053
27 2 "std" -0.493618838837173
28 2 "std" -0.460378197329085
29 2 "std" -0.350954088175451
30 2 "std" -0.457821953430551
1 3 "std" -0.295985002293622
2 3 "std" -0.255483319855762
3 3 "std" -0.396303575427072
4 3 "std" -0.463156767762556
5 3 "std" -0.292179535781543
6 3 "std" -0.13386340925321
7 3 "std" -0.339878685239894
8 3 "std" -0.111552982566447
9 3 "std" -0.324410338313353
10 3 "std" -0.244252513941601
11 3 "std" -0.370916590654801
12 3 "std" -0.343929713681341
13 3 "std" -0.322429914556687
14 3 "std" -0.0830549741479352
15 3 "std" -0.262552107170605
16 3 "std" -0.370906205900319
17 3 "std" -0.383561489576241
18 3 "std" -0.546540660021212
19 3 "std" 0.0669945205830662
20 3 "std" -0.143068997888352
21 3 "std" -0.274761595950648
22 3 "std" -0.283397442524306
23 3 "std" -0.165582595644583
24 3 "std" -0.405112111047288
25 3 "std" -0.504489492433764
26 3 "std" -0.328280470827251
27 3 "std" -0.340198263989867
28 3 "std" -0.288119245181232
29 3 "std" -0.335768637552196
30 3 "std" -0.366160084924187
1 4 "std" -0.965547050035461
2 4 "std" -0.975562262663043
3 4 "std" -0.939994368405449
4 4 "std" -0.954849164780833
5 4 "std" -0.955092520454924
6 4 "std" -0.95347975619697
7 4 "std" -0.944414386648437
8 4 "std" -0.967871118873188
9 4 "std" -0.932833111607667
10 4 "std" -0.973702792693673
11 4 "std" -0.972074876493711
12 4 "std" -0.964910085081699
13 4 "std" -0.973370600096088
14 4 "std" -0.962088645359568
15 4 "std" -0.971969051228814
16 4 "std" -0.971986993847826
17 4 "std" -0.983214834479167
18 4 "std" -0.986877510358187
19 4 "std" -0.972507359651826
20 4 "std" -0.964578627813131
21 4 "std" -0.980670978338235
22 4 "std" -0.960698102922937
23 4 "std" -0.963591566089461
24 4 "std" -0.978551103719363
25 4 "std" -0.979927586813462
26 4 "std" -0.973833836604167
27 4 "std" -0.982678045369048
28 4 "std" -0.966355572471065
29 4 "std" -0.982686826472222
30 4 "std" -0.973417078776882
1 5 "std" -0.986914895668239
2 5 "std" -0.972170699637346
3 5 "std" -0.937977841687158
4 5 "std" -0.93568907446875
5 5 "std" -0.929729538645089
6 5 "std" -0.954102334926901
7 5 "std" -0.95729097
8 5 "std" -0.96900990474537
9 5 "std" -0.953658251944444
10 5 "std" -0.957134584422348
11 5 "std" -0.986180731374113
12 5 "std" -0.950265410496585
13 5 "std" -0.975443351535088
14 5 "std" -0.957656624159722
15 5 "std" -0.968871369551887
16 5 "std" -0.978946351212607
17 5 "std" -0.983644171266026
18 5 "std" -0.977640338076484
19 5 "std" -0.97000582397831
20 5 "std" -0.930629691512557
21 5 "std" -0.966127690004682
22 5 "std" -0.960583815238095
23 5 "std" -0.965187857990196
24 5 "std" -0.966894432886473
25 5 "std" -0.977093587567568
26 5 "std" -0.977495563378378
27 5 "std" -0.978918693088542
28 5 "std" -0.938837980648734
29 5 "std" -0.986174537352564
30 5 "std" -0.947033262937853
1 6 "std" -0.9100251711495
2 6 "std" -0.981825772282986
3 6 "std" -0.975154321626344
4 6 "std" -0.963741443626543
5 6 "std" -0.974300231201923
6 6 "std" -0.942638976038231
7 6 "std" -0.957377495869391
8 6 "std" -0.95736263120216
9 6 "std" -0.94960980605
10 6 "std" -0.965682632200431
11 6 "std" -0.979500631052632
12 6 "std" -0.960184652569444
13 6 "std" -0.97001903936828
14 6 "std" -0.941170059485294
15 6 "std" -0.965819349305556
16 6 "std" -0.975376551327381
17 6 "std" -0.971035911314554
18 6 "std" -0.988103487339744
19 6 "std" -0.977533386827309
20 6 "std" -0.974799675796569
21 6 "std" -0.96853035900463
22 6 "std" -0.953834923730382
23 6 "std" -0.976794733871528
24 6 "std" -0.978708938686343
25 6 "std" -0.868067949616381
26 6 "std" -0.982418354873903
27 6 "std" -0.985829397150901
28 6 "std" -0.967010479182292
29 6 "std" -0.989203293900966
30 6 "std" -0.973982699095238
